Genre,App_Count,Total_Installs,Installs_per_App,Focus_Score
Communication,317,11039776251,34825792.58990537,0.8144927536231885
Tools,829,8102771915,9774151.887816647,0.6771763624102776
Social,239,5487867902,22961790.384937238,0.4825778465182664
Productivity,374,5793091369,15489549.114973262,0.47800301254817673
Photography,282,4658148655,16518257.64184397,0.4124321580703194
Video Players & Editors,165,3936902720,23860016.484848484,0.40732731943651296
Entertainment,592,3160114684,5338031.560810811,0.3738927569796035
Arcade,199,3801339156,19102206.81407035,0.3736347515906111
Action,311,3536059690,11369966.848874599,0.3378088875802619
Casual,225,3415213740,15178727.733333332,0.335171903553568
Travel & Local,219,2894887146,13218662.767123288,0.2972127224701593
Education,642,683376028,1064448.6417445482,0.26534943832895697
News & Magazines,254,2369217760,9327628.976377953,0.25723474356584997
Personalization,376,1532494782,4075783.994680851,0.22575261884390008
Racing,108,1533507320,14199141.851851853,0.21613640880757085
Sports,335,1423174498,4248282.083582089,0.20842649620849685
Books & Reference,225,1665980676,7404358.56,0.20463244516794166
Business,419,692164865,1651944.7852028639,0.18994575882706224
Shopping,202,1400348785,6932419.727722772,0.18259739015972007
Health & Fitness,290,1145122512,3948698.3172413795,0.17945924765190718
Lifestyle,370,503923539,1361955.5108108108,0.1628663377164299
Finance,345,455348734,1319851.4028985507,0.15168458691286604
Puzzle,142,1029486811,7249907.1197183095,0.1501629004558395
Strategy,99,916787605,9260480.858585859,0.14786754693859805
Medical,395,38203077,96716.65063291139,0.14411976626310544
Simulation,206,665308320,3229652.0388349514,0.12542741930605453
Action & Adventure,98,692906501,7070474.5,0.12047514130047228
Maps & Navigation,131,503281890,3841846.4885496185,0.09767091475793672
Word,23,209172550,9094458.695652174,0.09325725914391675
Adventure,80,412945320,5161816.5,0.08732166540617364
Music,22,180221500,8191886.363636363,0.08404923446204998
Role Playing,115,383440770,3334267.565217391,0.08314684264075425
Weather,79,361100520,4570892.658227848,0.07997621421438975
Dating,170,140925107,828971.2176470588,0.07264551472145608
Pretend Play,69,271813200,3939321.7391304346,0.0676620700313682
Educational,102,234200966,2296087.901960784,0.06406100182905793
Food & Drink,112,211798751,1891060.2767857143,0.06337371448997503
Brain Games,63,237204100,3765144.4444444445,0.06272952704004262
Music & Video,31,144611000,4664870.9677419355,0.05555238478008266
Card,49,163826100,3343389.7959183673,0.051355024746139954
Board,60,170914410,2848573.5,0.051323002564610434
Casino,39,130260700,3340017.9487179485,0.046486491917132444
Trivia,39,128606470,3297601.794871795,0.0460601488721208
Art & Design,65,114838100,1766740.0,0.04175751638189229
House & Home,73,97202461,1331540.5616438356,0.04025767169289891
Auto & Vehicles,85,53130211,625061.305882353,0.03690579627729776
Libraries & Demo,84,52995910,630903.6904761905,0.036589079380550914
Creativity,33,72415600,2194412.121212121,0.03232052351998781
Comics,56,44981150,803234.8214285715,0.0276423900826793
Parenting,60,31521110,525351.8333333334,0.026203515660892972
Events,64,15973161,249580.640625,0.024707229714005234
Beauty,53,27197050,513151.88679245283,0.02340521792871058
Music & Audio,1,500000,500000.0,0.003483680505109953
